sentence,aspect,polarity
this hospital is one of the best hops it als because the doctors who work here have an experience of at least a decade,"['hospital', 'doctors', 'als', 'hops', 'experience']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital is a multi spacial it y hospital and has doctors that have expertise in a wide range of health problems and will ensure that your health is restored,"['hospital', 'health', 'doctors', 'spacial', 'multi']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
the doctors at Sarkar hospital floor ahi a Gora kh pair were well qualified and they took amazing care of me Sarkar hospital floor ahi a Gora oh power was simply too good,"['gora', 'hospital', 'doctors', 'sarkar', 'qualified']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
"Tim one Erie hospital , Mo had DI pour Gora kh pair has skilled medical doctors high end operation theatres that are filled with the latest equipment and the staff is also amazing","['hospital', 'gora', 'medical', 'theatres', 'doctors']","['Neutral', 'Neutral', 'Positive', 'Positive', 'Positive']"
shish ode a orthopedic center Siva para m gore kh pair has all the services that are needed for a good surgery and they have an hour ambulance and pharmacy service which is great,"['orthopedic', 'ambulance', 'surgery', 'services', 'service']","['Neutral', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital has cutting edge technology and the skills of the doctors are also too good here,"['hospital', 'doctors', 'technology', 'skills', 'cutting']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
the doctors at this hospital have at least years of experience and the doctor who was performing the surgery on my mom had years of experience so we trusted them,"['surgery', 'hospital', 'doctors', 'doctor', 'experience']","['Neutral', 'Positive', 'Positive', 'Positive', 'Positive']"
it is a good place to take treatment from,"['treatment', 'place', 'good']","['Neutral', 'Positive', 'Positive']"
sham bha via hospital civil lines Gora kh bar is a pioneer of innovation and they use the newest and innovative technologies to give their patients the best results,"['hospital', 'gora', 'patients', 'bha', 'sham']","['Neutral', 'Positive', 'Neutral', 'Neutral', 'Neutral']"
sheet a la care center full char Gora oh power is very clean and they give really healthy food that the patient needs which is great,"['healthy', 'gora', 'patient', 'food', 'power']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital gives you good postoperative care and they are always there to help you and tell you how to recover in the best way possible,"['postoperative', 'hospital', 'recover', 'care', 'help']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hops it all has some really experienced and well qualified doctors so you can trust them with your life because their success rate for surgery is really high,"['surgery', 'doctors', 'trust', 'experienced', 'success']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital has a very well trained team who takes care of all your needs and does a great job at supporting your preoperative and postoperative surgery needs,"['hospital', 'preoperative', 'postoperative', 'surgery', 'care']","['Positive', 'Neutral', 'Neutral', 'Neutral', 'Positive']"
this hospital provides super specialty services so no matter what you are suffering since they have got you covered,"['hospital', 'specialty', 'services', 'suffering', 'super']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
the doctors at this hospital have a lot of expertise in their field and the fees that they charge for surgery is also not that much,"['hospital', 'fees', 'doctors', 'surgery', 'expertise']","['Positive', 'Positive', 'Positive', 'Neutral', 'Positive']"
Chandra by hospital some sundae ram Madurai has a good team of doctors who will take care of all your needs brilliantly,"['hospital', 'madurai', 'doctors', 'chandra', 'sundae']","['Neutral', 'Positive', 'Positive', 'Neutral', 'Neutral']"
their service includes ambulance services blood bank services and a pharmacy,"['ambulance', 'services', 'pharmacy', 'service', 'bank']","['Positive', 'Positive', 'Neutral', 'Positive', 'Positive']"
they helped me get to the toilet and do my exercises that I was recommended and they were invested in me getting alright like I was a part of their family,"['family', 'toilet', 'helped', 'exercises', 'invested']","['Positive', 'Neutral', 'Positive', 'Neutral', 'Positive']"
this hospital has the best departments and they keep res e arcing on the best ways to do the treatment so it is a great place to work at,"['hospital', 'treatment', 'departments', 'place', 'work']","['Positive', 'Neutral', 'Positive', 'Positive', 'Positive']"
it just felt that I woke up from sleep,"['woke', 'sleep', 'felt', 'just']","['Negative', 'Neutral', 'Negative', 'Neutral']"
I am glad that I admitted my father here,"['admitted', 'father', 'glad']","['Positive', 'Neutral', 'Positive']"
this hospital has state of the art technology and amenities which ensures that your surgery will be done with accuracy,"['hospital', 'surgery', 'amenities', 'technology', 'accuracy']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
The Sar van g hospital is to hat a Gora kh pair provides a cashless service option if the health insurance providers that you have choose and are on their list and they did take really good care of my daughter who was suffering from dengue,"['hospital', 'dengue', 'gora', 'cashless', 'insurance']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']"
the ICUs and theatres at shiva y malt my s pass list hospital Azad Nagar Gora oh poor are really well equipped and the pharmacy is open x,"['nagar', 'hospital', 'theatres', 'pharmacy', 'gora']","['Neutral', 'Neutral', 'Positive', 'Positive', 'Positive']"
this hospital has the best departments and they keep res e arcing on the best ways to do the treatment so it is a great place to work at,"['hospital', 'treatment', 'departments', 'place', 'work']","['Positive', 'Neutral', 'Positive', 'Positive', 'Positive']"
Managua lee hospital ray gun j Gora oh power is very clean and they give really healthy food that the patient needs which is great,"['hospital', 'gora', 'healthy', 'patient', 'managua']","['Neutral', 'Neutral', 'Positive', 'Positive', 'Neutral']"
this hospital has highly advanced operation theatres so you will not feel any pain after the surgery and it will not leave any major scars on your body,"['surgery', 'hospital', 'scars', 'pain', 'operation']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
we went to ha be eb a specialty hospital van die or Madurai after consulting a doctor from another hospital and this doctor gave us a safe and accurate diagnosis and told us not to go for surgery,"['surgery', 'hospital', 'diagnosis', 'madurai', 'doctor']","['Negative', 'Neutral', 'Positive', 'Neutral', 'Neutral']"
b Askar hospital goes math I pure m Madurai has good online services for patients and their family members and that makes it easy and convenient for the family and the patient to do the procedures related to the treatment or surgery,"['hospital', 'madurai', 'patients', 'surgery', 'services']","['Neutral', 'Positive', 'Neutral', 'Neutral', 'Positive']"
the ICUs and theatres at jai see hospitals s colony Madurai are really well equipped and the pharmacy is open x,"['pharmacy', 'madurai', 'theatres', 'hospitals', 'jai']","['Neutral', 'Positive', 'Positive', 'Neutral', 'Positive']"
we went to a run hospital Meenakshi para m Madurai after consulting a doctor from another hospital and this doctor gave us a safe and accurate diagnosis and told us not to go for surgery,"['madurai', 'meenakshi', 'surgery', 'diagnosis', 'hospital']","['Neutral', 'Neutral', 'Negative', 'Positive', 'Neutral']"
this hospital has a doctor who engages you in a conversation and tries to take your mind off the pain and he has trained the staff to do so as well,"['hospital', 'doctor', 'pain', 'staff', 'conversation']","['Positive', 'Positive', 'Neutral', 'Positive', 'Neutral']"
the diet of the patient is decided based on the therapeutic needs of the patient,"['diet', 'therapeutic', 'patient', 'needs', 'based']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']"
this hospital has fully functional operation theaters ICUs and emergency rooms and good infrastructure so it is a good idea to work for them,"['hospital', 'rooms', 'emergency', 'operation', 'icus']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
"this hospital has a lot of amenities like laboratory , pharmacy a dialysis center and Cath lab and much more which sees to it that the needs of the patients are met no matter what surgery they have come for","['hospital', 'patients', 'dialysis', 'amenities', 'surgery']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital provides super specialty services so no matter what you are suffering since they have got you covered,"['hospital', 'specialty', 'services', 'suffering', 'super']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
The Mitta l eye hospital is to hat a Gora kh pair has all the emergency equipment that is needed in the ICU and they analyze the reports really well and give a proper diagnosis,"['gora', 'hospital', 'diagnosis', 'eye', 'emergency']","['Positive', 'Neutral', 'Positive', 'Neutral', 'Positive']"
if it was not for this department probably my sister ' s case would have been really delayed,"['department', 'case', 'delayed', 'sister', 'probably']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']"
"Maa physiotherapy clinic Miya n bass a Gora kh pur did my mothers surgery really well and it was a really complicated surgery , but they ensured that my mother was well taken care of so I am very thankful to the doctors","['surgery', 'physiotherapy', 'gora', 'clinic', 'doctors']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
Karen a I hospital Nari me do Madurai is very clean and they give really healthy food that the patient needs which is great,"['madurai', 'hospital', 'healthy', 'patient', 'nari']","['Positive', 'Neutral', 'Positive', 'Positive', 'Neutral']"
PC hospital shah pours Gora kh bar has a very nice management and they will organize every r thing really well for you,"['hospital', 'management', 'gora', 'organize', 'shah']","['Neutral', 'Positive', 'Positive', 'Positive', 'Neutral']"
PR a jail maternity and healthcare day an and Nagar Gora oh pure is really reputed and all the medical facilities are available within one roof so I like this place quite a lot,"['nagar', 'gora', 'facilities', 'maternity', 'healthcare']","['Positive', 'Positive', 'Positive', 'Neutral', 'Neutral']"
this hospital does a lot of charity work although it is a private hospital and have a rural health center where they treat many patients from under Praia vele GED backgrounds,"['hospital', 'charity', 'praia', 'patients', 'ged']","['Neutral', 'Positive', 'Neutral', 'Neutral', 'Neutral']"
mall hospital Miya n bass a Gora kh pair has a hour emergency and critical care that is supported by a fully equipped pathology lab emergency and critical care radiology and pharmacy,"['hospital', 'gora', 'radiology', 'emergency', 'miya']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']"
Neel can the hospital rapt in agar Gora kh pair follows meticulous standards of excellence and they have the best infrastructure and equipments,"['gora', 'neel', 'hospital', 'excellence', 'standards']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
if it was not for this department probably my sister ' s case would have been really delayed,"['department', 'case', 'delayed', 'sister', 'probably']","['Negative', 'Negative', 'Negative', 'Negative', 'Negative']"
this hospital has a good team of doctors who will take care of all your needs brilliantly,"['hospital', 'doctors', 'care', 'needs', 'team']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital has a wide range of cabins and wards for the convenience of patients and they use the latest technology which is amazing,"['hospital', 'cabins', 'patients', 'wards', 'convenience']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital has many Ron owed doctors who visit the clinic and they have world class facilities at the clinic,"['clinic', 'hospital', 'doctors', 'facilities', 'visit']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
mall hospital Miya n bass a Gora kh pair has doctors that are internationally rent owed yet they do not charge a bomb for the rooms and the service,"['hospital', 'gora', 'rent', 'mall', 'doctors']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']"
this hospital did not overcharge us for the surgery like many other hospitals do and did not write any unnecessary medicine as well,"['hospital', 'surgery', 'hospitals', 'overcharge', 'medicine']","['Positive', 'Neutral', 'Positive', 'Negative', 'Positive']"
"he MA medical center okay Nagar , Madurai has many Ron owed doctors who visit the clinic and they have world class facilities at the clinic","['clinic', 'madurai', 'nagar', 'doctors', 'facilities']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
"the infrastructure at this hospital is great and the a men it , I use and facilities are also amazing","['hospital', 'facilities', 'infrastructure', 'men', 'great']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
"keep fit naturopathy hospital Natha m road , Madurai has the best of doctors who are well educated and smart so I like the treatment at this place","['naturopathy', 'madurai', 'treatment', 'hospital', 'natha']","['Neutral', 'Neutral', 'Positive', 'Neutral', 'Neutral']"
"the infrastructure at this hospital is great and the a men it , I use and facilities are also amazing","['hospital', 'facilities', 'infrastructure', 'men', 'great']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hops it all has skilled medical doctors high end operation theatres that are filled with the latest equipment and the staff is also amazing,"['medical', 'doctors', 'theatres', 'equipment', 'staff']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
Shri Vinayak hospital shah pours Gora kh pair has a good team of doctors who will take care of all your needs brilliantly,"['gora', 'hospital', 'doctors', 'shri', 'vinayak']","['Neutral', 'Positive', 'Positive', 'Positive', 'Positive']"
the doctors at Osama Habib bash rat pour Gora kh pair have amazing credentials and the rating of the hospital is also really good,"['hospital', 'gora', 'doctors', 'credentials', 'habib']","['Positive', 'Neutral', 'Positive', 'Positive', 'Positive']"
the pride hospital Azad Nagar Gora kh pair gives you good postoperative care and they are always there to help you and tell you how to recover in the best way possible,"['postoperative', 'gora', 'hospital', 'recover', 'nagar']","['Positive', 'Positive', 'Positive', 'Positive', 'Neutral']"
"keep fit naturopathy hospital Natha m road , Madurai has a huge staff of about around consultants and specialized nurses so you will definitely get all the care that you need","['naturopathy', 'madurai', 'nurses', 'consultants', 'hospital']","['Positive', 'Positive', 'Positive', 'Positive', 'Neutral']"
"I stayed at a Hana hospital , she no y Nagar , Madurai for a night and everything was well taken care of for me","['nagar', 'madurai', 'hospital', 'hana', 'stayed']","['Neutral', 'Neutral', 'Positive', 'Positive', 'Positive']"
their service includes ambulance services blood bank services and a pharmacy,"['ambulance', 'services', 'pharmacy', 'service', 'bank']","['Positive', 'Positive', 'Neutral', 'Positive', 'Positive']"
"mall hospital Miya n bass a Gora kh pair has really professional doctors and immediately after the operation , they told us what we have to do to take care of our daughter and my daughter said that she did not feel any pain after the surgery","['surgery', 'gora', 'hospital', 'pain', 'miya']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
the infrastructure at this hospital is simply a comparable by any other hospital and the charges for the room is also not that high,"['hospital', 'infrastructure', 'room', 'charges', 'comparable']","['Positive', 'Positive', 'Neutral', 'Positive', 'Positive']"
everyone in a II ms hospital Madurai from the staff to the maid is great and they know how to treat their patients well,"['madurai', 'patients', 'hospital', 'maid', 'ms']","['Positive', 'Positive', 'Neutral', 'Positive', 'Neutral']"
green life Siddha hospital Ellis Nagar Madurai has skilled medical doctors high end operation theatres that are filled with the latest equipment and the staff is also amazing,"['hospital', 'nagar', 'madurai', 'siddha', 'theatres']","['Positive', 'Neutral', 'Positive', 'Positive', 'Positive']"
very happy with the work,"['happy', 'work']","['Positive', 'Positive']"
this hospital has all the services that are needed for a good surgery and they have an hours ambulance and pharmacy service which is great,"['hospital', 'ambulance', 'surgery', 'services', 'pharmacy']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
"they are not money minded and are very kind , unlike doctors in other places","['doctors', 'minded', 'money', 'places', 'kind']","['Positive', 'Positive', 'Negative', 'Neutral', 'Positive']"
this hospital ensures that you get the highest quality of care and it has top notch facilities and amenities,"['hospital', 'amenities', 'facilities', 'quality', 'care']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
I stayed at shiva y malt I s passes list hospital Azad Nagar Gora kh bar for a night and everything was well taken care of for me,"['hospital', 'nagar', 'gora', 'shiva', 'stayed']","['Neutral', 'Neutral', 'Positive', 'Positive', 'Positive']"
Apollo skin hospital per year Madurai has experienced staff and state of the art technology and modern amenities,"['madurai', 'hospital', 'apollo', 'skin', 'amenities']","['Positive', 'Neutral', 'Neutral', 'Neutral', 'Positive']"
Prag YA hospital is to hat a Gora kh pair has surgeons with a lot of years of experience and they do the surgery with extreme care and attention to detail,"['gora', 'surgery', 'surgeons', 'hospital', 'prag']","['Positive', 'Positive', 'Positive', 'Neutral', 'Positive']"
this hospital has a staff that is simply too good and they take care of you like no other,"['hospital', 'staff', 'care', 'like', 'simply']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
the doctors are very good as well,"['doctors', 'good']","['Positive', 'Positive']"
this hops it all has skilled medical doctors high end operation theatres that are filled with the latest equipment and the staff is also amazing,"['medical', 'doctors', 'theatres', 'equipment', 'staff']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
it is a good place to take treatment from,"['treatment', 'place', 'good']","['Neutral', 'Positive', 'Positive']"
I am very happy with their service,"['service', 'happy']","['Positive', 'Positive']"
s has hank hospital Rajendra Nagar Gora kh pair has a good team of doctors who will take care of all your needs brilliantly,"['hospital', 'gora', 'nagar', 'doctors', 'rajendra']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
shiva y malt I s passes list hospital Azad Nagar Gora kh pair has a good team of doctors who will take care of all your needs brilliantly,"['gora', 'hospital', 'nagar', 'doctors', 'shiva']","['Neutral', 'Neutral', 'Neutral', 'Positive', 'Neutral']"
pulse hospital kale puree Gora kh pair has surgeons with a lot of years of experience and they do the surgery with extreme care and attention to detail,"['surgeons', 'surgery', 'gora', 'hospital', 'kale']","['Positive', 'Positive', 'Neutral', 'Neutral', 'Neutral']"
this hospital is very clean and they give really healthy food that the patient needs which is great,"['hospital', 'healthy', 'patient', 'food', 'clean']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
the doctors at this hospital were well qualified and they took amazing care of me this hospital was simply too good,"['hospital', 'doctors', 'care', 'qualified', 'good']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
very happy with the work,"['happy', 'work']","['Positive', 'Positive']"
this hospital is backed by cutting edge medical technology and services and it is one of the best places to do surgery at,"['hospital', 'surgery', 'medical', 'services', 'technology']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital has tailor made packages for surgery to suit every economic class needs so you need not worry about the cost of treatment,"['hospital', 'surgery', 'cost', 'treatment', 'economic']","['Positive', 'Neutral', 'Positive', 'Neutral', 'Positive']"
"as Irv at the ham speciality hospital , she no y Nagar , Madurai offers adult and newborn intensive care units operation theatres and their services are just the best as are their staff and doctors","['hospital', 'madurai', 'nagar', 'theatres', 'newborn']","['Positive', 'Positive', 'Neutral', 'Neutral', 'Positive']"
this hops it all provides quality care because they have staff that is very passionate and professional and care for their patients,"['patients', 'staff', 'care', 'quality', 'provides']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
Neel a by hospital trauma center Ganga to la Gora kh pair has highly advanced operation theatres so you will not feel any pain after the surgery and it will not leave any major scars on your body,"['surgery', 'gora', 'neel', 'trauma', 'operation']","['Positive', 'Neutral', 'Positive', 'Neutral', 'Positive']"
the infrastructure at this hospital is simply a comparable by any other hospital and the charges for the room is also not that high,"['hospital', 'infrastructure', 'room', 'charges', 'comparable']","['Positive', 'Positive', 'Neutral', 'Positive', 'Positive']"
this hospital is really reputed and all the medical facilities are available within one roof so I like this place quite a lot,"['hospital', 'facilities', 'roof', 'medical', 'place']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital is one of the best hops it als because the doctors who work here have an experience of at least a decade,"['hospital', 'doctors', 'als', 'hops', 'experience']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital gives the patients good and healthy food on time and everything from a pharmacy to an ATM is available within the hospital,"['hospital', 'pharmacy', 'patients', 'healthy', 'food']","['Neutral', 'Neutral', 'Positive', 'Positive', 'Positive']"
this hospital is a nab h accredited hops it all and it has a very peaceful and calm environment that is filled with skilled and well trained doctors,"['hospital', 'accredited', 'doctors', 'peaceful', 'environment']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital gives you good postoperative care and they are always there to help you and tell you how to recover in the best way possible,"['postoperative', 'hospital', 'recover', 'care', 'help']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital has doctors who are committed to taking care of the health real ted problems of the patients and they go way beyond their means to give you better services,"['hospital', 'patients', 'doctors', 'services', 'health']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
"Dr Ramesh Babu Childrens clinic Munich all a I Madurai is one of the oldest hospitals and they have the best doctors , technicians and paramedics who take amazing care of you","['hospitals', 'madurai', 'clinic', 'paramedics', 'doctors']","['Positive', 'Positive', 'Neutral', 'Positive', 'Positive']"
it is great to get your treatment done for him,"['treatment', 'great']","['Positive', 'Positive']"
Shri hospital can rag hat Gora kh pair has experienced staff and state of the art technology and modern amenities,"['gora', 'hospital', 'shri', 'amenities', 'staff']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital is one I of the most well known hospitals and they have really acclaimed doctors,"['hospitals', 'hospital', 'doctors', 'acclaimed', 'known']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
it is great to get your treatment done for him,"['treatment', 'great']","['Positive', 'Positive']"
the infrastructure at this hospital is simply a comparable by any other hospital and the charges for the room is also not that high,"['hospital', 'infrastructure', 'room', 'charges', 'comparable']","['Positive', 'Positive', 'Neutral', 'Positive', 'Positive']"
very happy with their se vice,"['vice', 'se', 'happy']","['Positive', 'Positive', 'Positive']"
their service includes ambulance services blood bank services and a pharmacy,"['ambulance', 'services', 'pharmacy', 'service', 'bank']","['Positive', 'Positive', 'Neutral', 'Positive', 'Positive']"
Mohan pans Vijay chow k Gora oh power is really amazing,"['mohan', 'vijay', 'gora', 'chow', 'power']","['Neutral', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital follows meticulous standards of excellence and they have the best infrastructure and equipments,"['hospital', 'excellence', 'standards', 'infrastructure', 'equipments']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
Shakuntal a hospital rapt in the agar Gora kh pair has doctors who are committed to taking care of the health real ted problems of the patients and they go way beyond their means to give you better services,"['patients', 'gora', 'hospital', 'doctors', 'health']","['Positive', 'Positive', 'Neutral', 'Positive', 'Positive']"
"keep fit naturopathy hospital Natha m road , Madurai ensures that there is a nurse to patient ratio , which is amazing and ensures that you get personal attention","['madurai', 'naturopathy', 'nurse', 'hospital', 'natha']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
they ensure that they do everything to give the best of services to the patient,"['services', 'patient', 'ensure', 'best']","['Positive', 'Positive', 'Positive', 'Positive']"
"a Hana hospitals , she no y Nagar , Madurai has cutting edge equipment and a staff that highly trained and professional and know what they are doing","['madurai', 'hospitals', 'nagar', 'hana', 'equipment']","['Positive', 'Neutral', 'Neutral', 'Positive', 'Positive']"
the pride hospital Azad Nagar Gora oh poor hires really talented doctors with over years of experience so you know that you are in safe hands,"['hospital', 'gora', 'doctors', 'nagar', 'azad']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
we went to this hospital after consulting a doctor from another hospital and this doctor gave us a safe and accurate diagnosis and told us not to go for surgery,"['surgery', 'hospital', 'diagnosis', 'doctor', 'told']","['Negative', 'Neutral', 'Positive', 'Neutral', 'Positive']"
the doctors are very good as well,"['doctors', 'good']","['Positive', 'Positive']"
mal VI a hospital can rag hat Gora kh pair has cutting edge technology and the skills of the doctors are also too good here,"['hospital', 'gora', 'doctors', 'technology', 'mal']","['Neutral', 'Positive', 'Positive', 'Positive', 'Neutral']"
"royal clinic and maternity center tar Amanda l gore kh pair has a lot of amenities like laboratory , pharmacy a dialysis center and Cath lab and much more which sees to it that the needs of the patients are met no matter what surgery they have come for","['clinic', 'maternity', 'patients', 'dialysis', 'pharmacy']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
"keep fit naturopathy hospital Natha m road , Madurai gives you excellent diagnosis and the doctors have good medical expertise as well","['naturopathy', 'madurai', 'diagnosis', 'hospital', 'medical']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
anus ha medical city Ra ka Ra Madurai has a critical care unit nephrology unit a cardiology unit diabetic care and comprehensive child care unit and much more so it is a good place to visit,"['madurai', 'ra', 'medical', 'nephrology', 'anus']","['Positive', 'Positive', 'Positive', 'Positive', 'Neutral']"
Ba Ava medicals Madurai main measure is a nab h accredited hops it all and it has a very peaceful and calm environment that is filled with skilled and well trained doctors,"['madurai', 'medicals', 'accredited', 'doctors', 'measure']","['Positive', 'Neutral', 'Positive', 'Positive', 'Positive']"
a run hospital Meenakshi para m Madurai has doctors who do the surgery using latest technologies and ensure that you will not have any pain,"['madurai', 'meenakshi', 'surgery', 'hospital', 'doctors']","['Positive', 'Positive', 'Positive', 'Neutral', 'Positive']"
this hospital has modular operation theatres with state of the art facility and they take good care of you,"['hospital', 'facility', 'theatres', 'operation', 'care']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
I am very happy with their service,"['service', 'happy']","['Positive', 'Positive']"
the doctors at age Pandia n hospital sale Madurai were well qualified and they took amazing care of me ad panda n hospital sale Madurai was simply too good,"['madurai', 'hospital', 'doctors', 'pandia', 'qualified']","['Positive', 'Positive', 'Positive', 'Neutral', 'Positive']"
the coordination of the staff at the Apollo skin hospital per year Madurai is really good and they inform each other about what medicines they have to give the patient and take really good care of the patient,"['madurai', 'medicines', 'hospital', 'apollo', 'patient']","['Positive', 'Neutral', 'Neutral', 'Positive', 'Positive']"
we were really happy with the treatment,"['treatment', 'happy', 'really']","['Positive', 'Positive', 'Positive']"
this hospital has all the emergency equipment that is needed in the ICU and they analyze the reports really well and give a proper diagnosis,"['hospital', 'icu', 'diagnosis', 'emergency', 'reports']","['Positive', 'Neutral', 'Positive', 'Positive', 'Positive']"
this hops it all provides quality care because they have staff that is very passionate and professional and care for their patients,"['patients', 'staff', 'care', 'quality', 'provides']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
The hospital can rag hat Gora kh bar has some great doctors who are not only well qualified but also are really invested in the health of their patients,"['gora', 'hospital', 'patients', 'doctors', 'health']","['Positive', 'Neutral', 'Positive', 'Positive', 'Positive']"
"this hospital has a pharmacy in the hospital , which charges much less for medicines compared to if you buy medicines from outside","['pharmacy', 'medicines', 'hospital', 'compared', 'charges']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
this hospital is fully supported with the best technology amenities and facilities so you do not have to worry at all,"['hospital', 'facilities', 'amenities', 'worry', 'technology']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
"this hospital has a pharmacy in the hospital , which charges much less for medicines compared to if you buy medicines from outside","['pharmacy', 'medicines', 'hospital', 'compared', 'charges']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
hams a hospital v Adam Polk ki Madurai is a multi spacial it y hospital and has doctors that have expertise in a wide range of health problems and will ensure that your health is restored,"['hospital', 'madurai', 'hams', 'health', 'doctors']","['Neutral', 'Positive', 'Positive', 'Positive', 'Positive']"
BM hospital Maha boo palayam Madurai has many Ron owed doctors who visit the clinic and they have world class facilities at the clinic,"['clinic', 'madurai', 'hospital', 'palayam', 'doctors']","['Positive', 'Positive', 'Neutral', 'Neutral', 'Positive']"
this hops it all did not charge us expensive consultation charges and the doctors were really polite and spoke to us for an hour and gave us an entire plan on how to get better,"['consultation', 'doctors', 'charges', 'did', 'expensive']","['Positive', 'Positive', 'Negative', 'Positive', 'Negative']"
the room service was also amazing,"['room', 'service', 'amazing']","['Positive', 'Positive', 'Positive']"
this hospital did not overcharge us for the surgery like many other hospitals do and did not write any unnecessary medicine as well,"['hospital', 'surgery', 'hospitals', 'overcharge', 'medicine']","['Positive', 'Neutral', 'Positive', 'Negative', 'Positive']"
the doctor came twice to check me in my recovery and I was very happy with the staff at this place,"['recovery', 'staff', 'doctor', 'happy', 'check']","['Neutral', 'Positive', 'Neutral', 'Positive', 'Neutral']"
this hospital has a good team of doctors who will take care of all your needs brilliantly,"['hospital', 'doctors', 'care', 'needs', 'team']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
"there are a lot of amenities and facilities that at Chay specialty hospital pas u male Madurai gives its patients , which are specialist units ICUs diagnostic rooms , surgery rooms and treatment rooms so no matter what you are suffering from you will get a solution here","['madurai', 'hospital', 'facilities', 'patients', 'rooms']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
the doctors at this hospital were well qualified and they took amazing care of me this hospital was simply too good,"['hospital', 'doctors', 'care', 'qualified', 'good']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
they coordinated with my health insurance company and got it done quickly,"['insurance', 'company', 'quickly', 'coordinated', 'health']","['Positive', 'Positive', 'Positive', 'Positive', 'Neutral']"
Sarkar hospital floor ahi a Gora kh bar has modern theatre rooms that cater to the needs of a wide variety of patients who suffer from different problems,"['hospital', 'gora', 'rooms', 'theatre', 'patients']","['Neutral', 'Neutral', 'Positive', 'Positive', 'Positive']"
this hospital has rooms that are eq IP bed with all the amenities to keep the patients comfortable and the doctors do a great job,"['hospital', 'rooms', 'patients', 'amenities', 'eq']","['Positive', 'Positive', 'Positive', 'Positive', 'Positive']"
